label,label_id,class,count,fraction
fwd_direction_5,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,0,3884,0.5171770972037284
fwd_direction_5,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,1,3626,0.48282290279627166
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,1,1502,0.2
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,2,1502,0.2
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,3,1502,0.2
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,4,1502,0.2
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,5,1502,0.2
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,-1,3309,0.44061251664447404
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,0,1147,0.15272969374167777
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,1,3054,0.4066577896138482
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,0,3995,0.5326666666666666
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,1,3505,0.4673333333333333
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,-1,4102,0.5573369565217391
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,0,45,0.006114130434782609
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,1,3213,0.43654891304347826
