label,baseline_label_id,variant_label_id,parameter_scale,observations,correlation,mean_absolute_change,class_flip_rate
fwd_direction_5,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,1.0,7510,0.9999999999999999,0.0,0.0
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,1.0,7510,1.0,0.0,0.0
fwd_ret_1,245f21648bc7632d6fc2cb498b63d1ee69082114591480718b734ba38c06ff13,245f21648bc7632d6fc2cb498b63d1ee69082114591480718b734ba38c06ff13,1.0,7550,1.0,0.0,
fwd_ret_20,113ba3b848b305fb9905c1df8bae0499db9bdd86fe909227054b5f33342fcff4,113ba3b848b305fb9905c1df8bae0499db9bdd86fe909227054b5f33342fcff4,1.0,7360,1.0,0.0,
fwd_ret_5,e539337c1a0fce0b6ee52ad48639a316ca31c336e91a69a8b2ed3902839ee138,e539337c1a0fce0b6ee52ad48639a316ca31c336e91a69a8b2ed3902839ee138,1.0,7510,1.0,0.0,
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,9415994f204432b6f2d7b4170fab6fcb8cb09fdfac33aeadc6829505aa14fb35,0.5,7510,0.9601739942299204,0.07163781624500666,0.07163781624500666
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,1.0,7510,1.0,0.0,0.0
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,e6338c0f1b4069da5d1dcb3ef824bd38c4c9599931faf7ed3c8b579c268d8f35,2.0,7510,0.9131344335569452,0.14061251664447402,0.14061251664447402
fwd_vol_scaled_5,c3bdb79598c458e03b155a2602f677728cc8c0967f8aca45f8388cc711df1983,c3bdb79598c458e03b155a2602f677728cc8c0967f8aca45f8388cc711df1983,1.0,7310,1.0,0.0,
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,c9db94f3ed6358ee1ab33ded85189b26249cc29374c37880dd0c2ae99c2b465b,0.5,7500,0.9619877723874225,0.019333333333333334,0.019333333333333334
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,1.0,7500,1.0,0.0,0.0
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,c2396684e5c6ca335afade30ddaa3949f858331a9b31494f801943ad473a4231,2.0,7500,0.9303108028495706,0.03573333333333333,0.03573333333333333
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,5d62f8aeb805c6311f847aba5376a77ca83f6fdcabe31738c6d691279f804e6c,0.5,7360,0.6585686503114067,0.34144021739130437,0.17377717391304348
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,1.0,7360,1.0,0.0,0.0
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,a6b586ed770eee42c3d3ca9870819d185b3192a7b2a84a7281a79eb7d0d06dd0,2.0,7360,0.6394145805831294,0.4104619565217391,0.29171195652173915
