label,label_id,period,periods_total,date_start,date_end,observations,mean,standard_deviation
fwd_direction_5,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,1,4,2015-01-02,2015-09-23,1890,0.4444444444444444,0.4970355032714102
fwd_direction_5,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,2,4,2015-09-24,2016-06-14,1890,0.5222222222222223,0.49963812562007587
fwd_direction_5,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,3,4,2016-06-15,2017-03-06,1890,0.5111111111111111,0.500008822932567
fwd_direction_5,d5987565e79bbdb14ae12c903a945381fc26351c09aff075a4762dcd67c83d6f,4,4,2017-03-07,2017-11-17,1840,0.45271739130434785,0.4978946501793912
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,1,4,2015-01-02,2015-09-23,1890,3.0,1.414587841475155
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,2,4,2015-09-24,2016-06-14,1890,3.0,1.414587841475155
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,3,4,2016-06-15,2017-03-06,1890,3.0,1.414587841475155
fwd_quantile_5,0c1b9d9d4228f6d15252f26e532206448f38aa950b27f36cdaf697a55f62890d,4,4,2017-03-07,2017-11-17,1840,3.0,1.414598016250626
fwd_ret_1,245f21648bc7632d6fc2cb498b63d1ee69082114591480718b734ba38c06ff13,1,4,2015-01-02,2015-09-23,1890,-0.0011973533822897252,0.02239978479904648
fwd_ret_1,245f21648bc7632d6fc2cb498b63d1ee69082114591480718b734ba38c06ff13,2,4,2015-09-24,2016-06-14,1890,0.00013244407472028433,0.02408139188870111
fwd_ret_1,245f21648bc7632d6fc2cb498b63d1ee69082114591480718b734ba38c06ff13,3,4,2016-06-15,2017-03-06,1890,0.0005643930125770637,0.02436544086026825
fwd_ret_1,245f21648bc7632d6fc2cb498b63d1ee69082114591480718b734ba38c06ff13,4,4,2017-03-07,2017-11-23,1880,-0.0012813632723401934,0.024007262932140613
fwd_ret_20,113ba3b848b305fb9905c1df8bae0499db9bdd86fe909227054b5f33342fcff4,1,4,2015-01-02,2015-09-23,1890,-0.022128910076638062,0.09771746376248137
fwd_ret_20,113ba3b848b305fb9905c1df8bae0499db9bdd86fe909227054b5f33342fcff4,2,4,2015-09-24,2016-06-14,1890,0.009144656698119058,0.11222113030105778
fwd_ret_20,113ba3b848b305fb9905c1df8bae0499db9bdd86fe909227054b5f33342fcff4,3,4,2016-06-15,2017-03-06,1890,0.006212257057662479,0.11081562225244662
fwd_ret_20,113ba3b848b305fb9905c1df8bae0499db9bdd86fe909227054b5f33342fcff4,4,4,2017-03-07,2017-10-27,1690,-0.025153255630699176,0.10245966356477562
fwd_ret_5,e539337c1a0fce0b6ee52ad48639a316ca31c336e91a69a8b2ed3902839ee138,1,4,2015-01-02,2015-09-23,1890,-0.005442730406885991,0.05110985226062394
fwd_ret_5,e539337c1a0fce0b6ee52ad48639a316ca31c336e91a69a8b2ed3902839ee138,2,4,2015-09-24,2016-06-14,1890,0.001396653360399473,0.05544373170167994
fwd_ret_5,e539337c1a0fce0b6ee52ad48639a316ca31c336e91a69a8b2ed3902839ee138,3,4,2016-06-15,2017-03-06,1890,0.002153477332719289,0.05790872809505217
fwd_ret_5,e539337c1a0fce0b6ee52ad48639a316ca31c336e91a69a8b2ed3902839ee138,4,4,2017-03-07,2017-11-17,1840,-0.006319826597850332,0.052591355312890165
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,1,4,2015-01-02,2015-09-23,1890,-0.1126984126984127,0.9102077547170657
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,2,4,2015-09-24,2016-06-14,1890,0.04021164021164021,0.9251912126472678
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,3,4,2016-06-15,2017-03-06,1890,0.021693121693121695,0.9197873548788983
fwd_threshold_5,2d924ee44d015363315b1ca268903e0b3c7d35ad7c6586a438a4e520021e0ddd,4,4,2017-03-07,2017-11-17,1840,-0.08641304347826087,0.9154763618205434
fwd_vol_scaled_5,c3bdb79598c458e03b155a2602f677728cc8c0967f8aca45f8388cc711df1983,1,4,2015-01-30,2015-09-23,1690,-0.13823070723853245,1.081342349298055
fwd_vol_scaled_5,c3bdb79598c458e03b155a2602f677728cc8c0967f8aca45f8388cc711df1983,2,4,2015-09-24,2016-06-14,1890,0.027593788338957117,1.1028793343249557
fwd_vol_scaled_5,c3bdb79598c458e03b155a2602f677728cc8c0967f8aca45f8388cc711df1983,3,4,2016-06-15,2017-03-06,1890,0.05289626551624016,1.114435585108603
fwd_vol_scaled_5,c3bdb79598c458e03b155a2602f677728cc8c0967f8aca45f8388cc711df1983,4,4,2017-03-07,2017-11-17,1840,-0.10506052490398289,1.0233753355709287
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,1,4,2015-01-05,2015-09-23,1880,0.47074468085106386,0.49927619641001747
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,2,4,2015-09-24,2016-06-14,1890,0.46084656084656084,0.4985965722129162
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,3,4,2016-06-15,2017-03-06,1890,0.4777777777777778,0.4996381256200759
lagged_side_meta_5,522da49d3edb403be84e64e2165b789ed674a638c4ae0a4c6e80522326a676b0,4,4,2017-03-07,2017-11-17,1840,0.4597826086956522,0.4985154213898512
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,1,4,2015-01-02,2015-09-23,1890,-0.21798941798941798,0.9751242566607575
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,2,4,2015-09-24,2016-06-14,1890,-0.051322751322751325,0.9949639451003233
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,3,4,2016-06-15,2017-03-06,1890,-0.035449735449735446,0.995656226941383
triple_barrier_20,474707320072c75ebb06da64d241c8234e1454bfc8af63ce3fa94bb29ceaed7f,4,4,2017-03-07,2017-10-27,1690,-0.18520710059171597,0.9796720665165684
