model,window_id,rank_ic,mae
momentum_baseline,0,-0.1172733317401025,0.0172618085285066
linear,0,-0.0597735082132633,0.0195376982253992
random_forest,0,-0.1262702507414596,0.0182869461276685
lightgbm,0,-0.0956485590507066,0.0187430532640005
xgboost,0,-0.106503181708296,0.01908891169716
catboost,0,-0.0850178312716843,0.0185416583257674
small_mlp,0,-0.090732985795943,0.0724112727691238
momentum_baseline,1,-0.0341531314166135,0.0160357878274339
linear,1,0.0746893470970689,0.0164369353029664
random_forest,1,0.1018682985935492,0.0157810529120618
lightgbm,1,0.0685842690918898,0.0163941538802086
xgboost,1,0.0877121624615181,0.0160969508866502
catboost,1,0.0645575614458152,0.0166699370486259
small_mlp,1,-0.0138082476353094,0.0537208000582591
momentum_baseline,2,0.1697587726621272,0.0257730468395081
linear,2,0.0293374898872605,0.0292454432217391
random_forest,2,-0.1924095348300223,0.0282486748719507
lightgbm,2,-0.2112593143479927,0.0310099900728368
xgboost,2,-0.1908699644350523,0.0310769425265807
catboost,2,-0.1843584110400923,0.0306412346309294
small_mlp,2,-0.1888505517605461,0.109717526830764
momentum_baseline,3,-0.0875895355049669,0.0249947297820885
linear,3,0.0577237811393255,0.0248499408308809
random_forest,3,0.0026186439742099,0.0277897400499816
lightgbm,3,0.0523380468874,0.0344026973673619
xgboost,3,0.1548593733207836,0.0341275383304955
catboost,3,0.0921097892868493,0.0336096733387826
small_mlp,3,0.003527479553533,0.0905678204341622
momentum_baseline,4,-0.0310858086466352,0.0204694760510809
linear,4,0.1503724965677538,0.020851915496501
random_forest,4,-0.0414321428082982,0.0205482212612854
lightgbm,4,-0.0284768424128866,0.0211768273804923
xgboost,4,-0.0407521502492786,0.0212403797817167
catboost,4,-0.0448433040921513,0.0213024845354091
small_mlp,4,-0.090021678461386,0.0503075307487408
momentum_baseline,5,-0.2259329143611327,0.0184994018716149
linear,5,0.0523284320502257,0.0180323675308805
random_forest,5,0.1672114877460022,0.0176811940473905
lightgbm,5,0.0349419563197406,0.0187627014021
xgboost,5,0.0171898803733586,0.0195726330381496
catboost,5,0.0249873208594122,0.0197538552542422
small_mlp,5,0.0409978520514528,0.039589805744469
momentum_baseline,6,-0.1729436409678886,0.0132647380481827
linear,6,0.0578622275376002,0.0133749216154662
random_forest,6,0.0492276801147942,0.0133424304800401
lightgbm,6,0.0380588567985133,0.0154726728932655
xgboost,6,-0.0176809941927446,0.014488001099798
catboost,6,-0.0104117749078256,0.0147262974952864
small_mlp,6,0.0161423333972118,0.0314216736180699
momentum_baseline,7,-0.0017312785509873,0.023734035583111
linear,7,0.3282888071241935,0.022919417258051
random_forest,7,0.3385682157437905,0.0234296229062659
lightgbm,7,0.2582590375833533,0.0233219637758326
xgboost,7,0.2054352337461764,0.0234865282194606
catboost,7,0.189588585277971,0.0241762001431975
small_mlp,7,0.0861675465258892,0.0387456367694383
