model,omitted_expert,full_mse,mse_without_expert,mse_increase_without_expert,full_state_id,reduced_state_id,reduced_fit_status
bayesian,defensive,4.097818023971704e-05,4.0978233218795106e-05,5.297907806764901e-11,76401f47e1eaa386a8501b45fdf2bfbfc4e4ff9b2abb34ebe60f368fa47284bc,0da4987b97d8ff1b23ae472a6791c426b978ff86177f17ab6886ebbecd3af64b,fitted
bayesian,redundant,4.097818023971704e-05,4.097823333960529e-05,5.3099888249169124e-11,76401f47e1eaa386a8501b45fdf2bfbfc4e4ff9b2abb34ebe60f368fa47284bc,bcea756f984a9be64bd2e54b892f4556d42aea4bb2af1640d0b7870a8fccc750,fitted
bayesian,stable,4.097818023971704e-05,5.5983605106465134e-05,1.5005424866748096e-05,76401f47e1eaa386a8501b45fdf2bfbfc4e4ff9b2abb34ebe60f368fa47284bc,d67617f02484e45c35c957f794edb9b1e7183ff0649ee11cfe59b26d356dc417,fitted
bayesian,trend,4.097818023971704e-05,4.097823993180919e-05,5.969209215052384e-11,76401f47e1eaa386a8501b45fdf2bfbfc4e4ff9b2abb34ebe60f368fa47284bc,d52f5dc2dc04d0689bb12258514fe3665bd31afd2975993c523a0b9ed78423c6,fitted
dynamic,defensive,2.5710362888164752e-05,2.5694974415764468e-05,-1.5388472400283627e-08,50d463adcb8aadccd20714b9f486b5df43ec17eaa095d8ef3a521de1d6746063,4f3c23d553079e89a6c65a4298c2af5e446240541e98d93bebc67b36348f92bc,fitted
dynamic,redundant,2.5710362888164752e-05,2.6198123055791447e-05,4.877601676266949e-07,50d463adcb8aadccd20714b9f486b5df43ec17eaa095d8ef3a521de1d6746063,f4ffb0f908c47f0b224bacbcaadc81ed7ea9e6e360779b9bbbc3ce9cd75f787a,fitted
dynamic,stable,2.5710362888164752e-05,3.521049622076272e-05,9.500133332597967e-06,50d463adcb8aadccd20714b9f486b5df43ec17eaa095d8ef3a521de1d6746063,aad0ae87eb1a86bea1407ede81b69a3050eee9ff22f755de969f9c50c9aaf68f,fitted
dynamic,trend,2.5710362888164752e-05,3.165244482492213e-05,5.942081936757379e-06,50d463adcb8aadccd20714b9f486b5df43ec17eaa095d8ef3a521de1d6746063,0d8be73e726cdd2493d68d5cdd8fdc301d93175680a9e95a02e98f51a34818ae,fitted
rank_vote,defensive,3.564742372482265e-05,3.571484964151547e-05,6.74259166928221e-08,104c81e7c7a48c1ef3864d833978a2724e14a89f641f889469a6aa80e8c89a49,b4401c363ffb6c66d9716c190ab8d2b78954accef7a54d7e2a8c88f97731f6dd,fitted
rank_vote,redundant,3.564742372482265e-05,3.564073886336283e-05,-6.684861459819785e-09,104c81e7c7a48c1ef3864d833978a2724e14a89f641f889469a6aa80e8c89a49,aadbfa2525367eb6d45fbf47f0290377b81947a3bb275dc4ba63b67f4855b19d,fitted
rank_vote,stable,3.564742372482265e-05,3.591612996691127e-05,2.687062420886192e-07,104c81e7c7a48c1ef3864d833978a2724e14a89f641f889469a6aa80e8c89a49,1fbe5975aacca1b66b721fff9358663c1e43293895832baed7f2b750e243b463,fitted
rank_vote,trend,3.564742372482265e-05,3.591328551852828e-05,2.658617937056302e-07,104c81e7c7a48c1ef3864d833978a2724e14a89f641f889469a6aa80e8c89a49,d8ca0636d58f7562e0255cdf13b02140f6ed6d86c5cf99638347640f93f2ae9c,fitted
regime_gate,defensive,1.9236093621134564e-05,1.8100925359078798e-05,-1.1351682620557661e-06,b046af80602f52f04176e337943e79506a00c09560aa31f6b6aba77aff719439,5729196c7ff56b412dd4e13a80393dbc375b480f92ac59758b819c5c01cca247,fitted
regime_gate,redundant,1.9236093621134564e-05,1.8049127359356774e-05,-1.1869662617777898e-06,b046af80602f52f04176e337943e79506a00c09560aa31f6b6aba77aff719439,8dd3c5652a217aab3486f070f4f95be1485d716d1f5c6834c4c7361cdbf375d4,fitted
regime_gate,stable,1.9236093621134564e-05,2.3926277859512984e-05,4.69018423837842e-06,b046af80602f52f04176e337943e79506a00c09560aa31f6b6aba77aff719439,9039d30c52f392829ea1674b5f6dc77b5b51dd78718349d400f990690005b887,fitted
regime_gate,trend,1.9236093621134564e-05,2.879936489325755e-05,9.563271272122986e-06,b046af80602f52f04176e337943e79506a00c09560aa31f6b6aba77aff719439,4dfad938877675ffabd26f413068c1c5dd8684ff3e8e275d36a65f3cb9d5c115,fitted
stacking,defensive,2.1327733847952126e-05,2.2105587356161462e-05,7.778535082093358e-07,65a7a47f4c9f25a3e378e2b62382b2ad5b4c4b7a15fe02c41b59a9f4a8fe3460,a95fef212d44d92e2358b8a8dcf0dc0292a1bb07015e7bd315a7766a248c9fd5,fitted
stacking,redundant,2.1327733847952126e-05,2.2276122534592327e-05,9.48388686640201e-07,65a7a47f4c9f25a3e378e2b62382b2ad5b4c4b7a15fe02c41b59a9f4a8fe3460,40f169e657ffa2daff6d157fcac12338865716587486bb2aafb98c6db8b87a34,fitted
stacking,stable,2.1327733847952126e-05,2.497229053876038e-05,3.6445566908082524e-06,65a7a47f4c9f25a3e378e2b62382b2ad5b4c4b7a15fe02c41b59a9f4a8fe3460,addbc68b3bcf36367f3f95b84f0ed929b0611246a25bd1bbac1db44cfb4861c9,fitted
stacking,trend,2.1327733847952126e-05,2.257568844425537e-05,1.2479545963032427e-06,65a7a47f4c9f25a3e378e2b62382b2ad5b4c4b7a15fe02c41b59a9f4a8fe3460,97704246426ae65c7a36f6f14ea0abba4d5953d12e117f74a0f14e379fa77606,fitted
static,defensive,2.8467914417375353e-05,2.5535741150485004e-05,-2.9321732668903492e-06,0fd0872614c9af535a64759a7009c706cf0a67d7d82da388c11434afda081e07,52dd452838003c0d3bbc402d5290fc1502b49f58a9fbdbd2b60829c2d1e1e599,fitted
static,redundant,2.8467914417375353e-05,2.6160919725831634e-05,-2.3069946915437194e-06,0fd0872614c9af535a64759a7009c706cf0a67d7d82da388c11434afda081e07,f15d23ca14b9bced0d87d6fb4b6961b5a5d813e4ad9519cd8ecd81194b105e48,fitted
static,stable,2.8467914417375353e-05,3.715666491650788e-05,8.688750499132528e-06,0fd0872614c9af535a64759a7009c706cf0a67d7d82da388c11434afda081e07,9e0c4f7ec6e64a000125114c7ec739bd2a5e8b3a10d503a050879d587b840e7a,fitted
static,trend,2.8467914417375353e-05,3.534391118227091e-05,6.875996764895555e-06,0fd0872614c9af535a64759a7009c706cf0a67d7d82da388c11434afda081e07,02d7d1a38e1bb34c346e17c5a627d5809199484dba494d6eeb491eafae10eb9a,fitted
