model,kind,rows,mse,mse_ci_lower,mse_ci_upper,mse_standard_error,mse_variance,mae,rank_ic,rank_ic_status,rank_ic_valid_dates,rank_ic_total_dates,rank_ic_ci_lower,rank_ic_ci_upper,rank_ic_standard_error,rank_ic_variance,bootstrap_resamples,bootstrap_block_dates,bootstrap_confidence_level,bootstrap_seed,bootstrap_circular,fallback_rate,mean_heuristic_dispersion,heuristic_interval_coverage,dispersion_absolute_error_correlation,dispersion_correlation_status,dispersion_rows,mean_turnover,mean_cost_drag,gross_directional_return,net_directional_return,net_directional_return_ci_lower,net_directional_return_ci_upper,net_directional_return_standard_error,net_directional_return_variance,best_single_model,best_single_mse,mse_delta_vs_best_single,mse_delta_ci_lower,mse_delta_ci_upper,mse_delta_standard_error,mse_delta_variance
bayesian,ensemble,256,4.097818023971704e-05,3.4799084133354e-05,4.667415904191048e-05,3.1410107030807473e-06,9.865948236867811e-12,0.005236204189603528,0.19568452380952384,defined,32,32,0.09375000000000001,0.29828869047619044,0.053656018687407554,0.0028789683413834284,512,5,0.95,97531,True,0.0,0.007628797186127122,0.76171875,0.23528371011115118,defined,256,0.5029621316504711,0.0002514810658252356,0.0038704782082950888,0.0036189971424698533,0.002510919437948898,0.0046233332352052054,0.0005463843347485522,2.98535841258618e-07,stable,4.0978346011029764e-05,-1.6577131272630394e-10,-2.0367716194892425e-10,-1.2486594034520704e-10,2.043306125211703e-11,4.175099921327663e-22
dynamic,ensemble,256,2.5710362888164752e-05,2.2839919279188856e-05,2.8552179810200716e-05,1.4712796380617208e-06,2.164663773375028e-12,0.003931843383168845,0.23958333333333337,defined,32,32,0.11739211309523813,0.34077380952380953,0.0589725009476838,0.0034777558680245666,512,5,0.95,97531,True,0.0,0.006609900872657714,0.796875,0.1566506983319675,defined,256,0.4174299795678158,0.0002087149897839079,0.004280123197410792,0.004071408207626884,0.0027567402024999093,0.0051636975600054804,0.0006305005578805447,3.975309534876781e-07,stable,4.0978346011029764e-05,-1.5267983122865013e-05,-2.0958706591399603e-05,-9.316938550134123e-06,3.0347345725687445e-06,9.209613925944e-12
rank_vote,ensemble,256,3.564742372482265e-05,2.6336779079284226e-05,4.387784644843033e-05,4.550271908220333e-06,2.0704974438739116e-11,0.004947727600392424,0.29359793601631334,defined,32,32,0.1566136353273591,0.42460474406364346,0.0688007438961192,0.004733542360659385,512,5,0.95,97531,True,0.0,0.008227539345630192,0.8203125,0.06798722630006153,defined,256,0.47625081829753485,0.0002381254091487674,0.0014862941563618176,0.0012481687472130501,-0.0002358849609430203,0.0026611513900543725,0.000738509221562501,5.453958703328512e-07,stable,4.0978346011029764e-05,-5.330922286207114e-06,-1.3366197008224427e-05,1.9125324550457406e-06,4.057165173303277e-06,1.646058924346501e-11
regime_gate,ensemble,256,1.9236093621134564e-05,1.5677305157104154e-05,2.2529324150338374e-05,1.8110572325010492e-06,3.2799282993943596e-12,0.0033988576622472687,0.34331797235023054,defined,31,32,0.19464285714285726,0.508986175115207,0.08071564927021799,0.006515016037112842,512,5,0.95,97531,True,0.03125,0.006308483305307617,0.8508064516129032,0.07537050409725093,defined,248,0.32381260518928323,0.0001619063025946416,0.004619862257631665,0.004457955955037023,0.002805126546644547,0.005773113564687865,0.0007693224313894065,5.918570034389081e-07,stable,4.0978346011029764e-05,-2.17422523898952e-05,-2.8641444951233907e-05,-1.4215213978379071e-05,3.7393404003536807e-06,1.3982666629717226e-11
stacking,ensemble,256,2.1327733847952126e-05,1.8319127637599236e-05,2.4110104767214226e-05,1.5443790757073805e-06,2.385106729482783e-12,0.0036946141901533685,0.25372023809523814,defined,32,32,0.09977678571428576,0.3745907738095238,0.07115251189397946,0.005062679948822888,512,5,0.95,97531,True,0.0,0.008287435548116524,0.9140625,0.030760335865072392,defined,256,0.3969090225728864,0.00019845451128644318,0.004445426470306803,0.004246971959020359,0.002982395403831235,0.005301062708655058,0.0006089464040186953,3.708157229673001e-07,stable,4.0978346011029764e-05,-1.9650612163077638e-05,-2.3787661169659116e-05,-1.4664420817769007e-05,2.3928426379480685e-06,5.725695889982271e-12
static,ensemble,256,2.8467914417375353e-05,2.2942308785471366e-05,3.438054003850338e-05,2.8137283076704877e-06,7.917066989386226e-12,0.0041358789330157245,0.209077380952381,defined,32,32,0.040997023809523844,0.3535156249999999,0.07950306248860585,0.006320736945067167,512,5,0.95,97531,True,0.0,0.006574404344038808,0.796875,0.2679304299954326,defined,256,0.4302838168794306,0.00021514190843971534,0.0042426443192094595,0.004027502410769745,0.0025454930198819488,0.005216018868825327,0.0006958720367653001,4.842378915518871e-07,stable,4.0978346011029764e-05,-1.2510431593654411e-05,-2.1224423956282494e-05,-2.6350321201935155e-06,4.784109260811211e-06,2.288770141937959e-11
defensive,single,256,5.7575049509537546e-05,3.1188786741246905e-05,8.582782520309884e-05,1.428656043425503e-05,2.0410580904162128e-10,0.005591483489840178,0.23214285714285715,defined,32,32,0.00950520833333334,0.45206473214285703,0.1119688720234359,0.012537028302200567,512,5,0.95,97531,True,0.0,0.005859375,0.5859375,0.45225470800286666,defined,256,0.48186958346696446,0.00024093479173348224,0.003665207640313546,0.0034242728485800638,0.001723773549676389,0.005030070036327899,0.000856568221988788,7.337091189210336e-07,stable,4.0978346011029764e-05,1.659670349850778e-05,-1.2687183838550266e-05,4.809782426244351e-05,1.5970795622174732e-05,2.550663128052756e-10
redundant,single,256,5.226470600131614e-05,2.896329280980971e-05,7.680674237575533e-05,1.248543455400869e-05,1.5588607600243416e-10,0.005369878983107833,0.22842261904761907,defined,32,32,0.00917038690476193,0.4460193452380952,0.11245768831618469,0.012646731661420144,512,5,0.95,97531,True,0.0,0.0058,0.57421875,-0.4343583883482731,defined,256,0.4723073753730017,0.00023615368768650086,0.0037165208616759694,0.003480367173989469,0.0018083228378488916,0.005030139145061941,0.0008388601622196139,7.03686371759117e-07,stable,4.0978346011029764e-05,1.1286359990286373e-05,-1.4728315318901247e-05,3.916823741167449e-05,1.4191679004044465e-05,2.0140375295383648e-10
stable,single,256,4.0978346011029764e-05,3.4799206075452604e-05,4.667436373634563e-05,3.141028500173134e-06,9.866060038899888e-12,0.005236215883446551,0.19568452380952384,defined,32,32,0.09375000000000001,0.29828869047619044,0.053656018687407554,0.0028789683413834284,512,5,0.95,97531,True,0.0,0.0048,0.515625,,undefined_constant_or_insufficient_dispersion,256,0.5029624135030738,0.0002514812067515369,0.0038704724083007467,0.00361899120154921,0.0025109148287787765,0.004623327113659863,0.0005463835249853323,2.9853495637539727e-07,stable,4.0978346011029764e-05,0.0,0.0,0.0,0.0,0.0
trend,single,256,5.598376989796413e-05,2.811418447165211e-05,8.611234652790552e-05,1.5166736280311527e-05,2.3002988939651793e-10,0.005614977564525898,0.16741071428571433,defined,32,32,0.05388764880952387,0.25520833333333337,0.05176829562761032,0.0026799564321876575,512,5,0.95,97531,True,0.0,0.005546875,0.48046875,0.46866727124793134,defined,256,0.47807262113292937,0.00023903631056646464,0.0031919430397559525,0.0029529067291894874,0.001675835684001387,0.00441966986852814,0.0007456647561617178,5.560159285817141e-07,stable,4.0978346011029764e-05,1.5005423886934365e-05,-1.1170002523618141e-05,4.271737828664396e-05,1.4276587271768935e-05,2.0382094412843476e-10
