regime,model_a,model_b,rows,signed_prediction_overlap,signed_prediction_overlap_status,error_correlation,error_correlation_status
calm,bayesian,bayesian,128,1.0,defined,1.0,defined
calm,bayesian,defensive,128,0.65625,defined,0.29796322797899816,defined
calm,bayesian,dynamic,128,0.7890625,defined,0.7199406605462887,defined
calm,bayesian,rank_vote,128,0.75,defined,0.5547674777862364,defined
calm,bayesian,redundant,128,0.671875,defined,0.31292213817780123,defined
calm,bayesian,regime_gate,128,0.78125,defined,0.7309362337963865,defined
calm,bayesian,stable,128,1.0,defined,0.9999999999951404,defined
calm,bayesian,stacking,128,0.7890625,defined,0.7740485928227299,defined
calm,bayesian,static,128,0.765625,defined,0.5802329684287748,defined
calm,bayesian,trend,128,0.734375,defined,0.42164319288821167,defined
calm,defensive,defensive,128,1.0,defined,1.0,defined
calm,defensive,dynamic,128,0.8046875,defined,0.8378999536580778,defined
calm,defensive,rank_vote,128,0.796875,defined,0.5552862476367687,defined
calm,defensive,redundant,128,0.984375,defined,0.9994256726369288,defined
calm,defensive,regime_gate,128,0.78125,defined,0.7816785633834671,defined
calm,defensive,stable,128,0.65625,defined,0.2979603142954447,defined
calm,defensive,stacking,128,0.7734375,defined,0.6383434932573175,defined
calm,defensive,static,128,0.84375,defined,0.9340877381430983,defined
calm,defensive,trend,128,0.609375,defined,0.34026578911087835,defined
calm,dynamic,dynamic,128,1.0,defined,1.0,defined
calm,dynamic,rank_vote,128,0.8515625,defined,0.7756420211371655,defined
calm,dynamic,redundant,128,0.8203125,defined,0.849257190199087,defined
calm,dynamic,regime_gate,128,0.9765625,defined,0.992290227051188,defined
calm,dynamic,stable,128,0.7890625,defined,0.7199385182510065,defined
calm,dynamic,stacking,128,0.96875,defined,0.925234268184769,defined
calm,dynamic,static,128,0.9609375,defined,0.9774071819777326,defined
calm,dynamic,trend,128,0.8046875,defined,0.6566798188879219,defined
calm,rank_vote,rank_vote,128,1.0,defined,0.9999999999999998,defined
calm,rank_vote,redundant,128,0.8125,defined,0.572735685933754,defined
calm,rank_vote,regime_gate,128,0.828125,defined,0.8053267999751763,defined
calm,rank_vote,stable,128,0.75,defined,0.5547659334616795,defined
calm,rank_vote,stacking,128,0.8359375,defined,0.9246939597388301,defined
calm,rank_vote,static,128,0.84375,defined,0.7253485725525141,defined
calm,rank_vote,trend,128,0.6875,defined,0.7305010547634934,defined
calm,redundant,redundant,128,1.0,defined,1.0,defined
calm,redundant,regime_gate,128,0.796875,defined,0.7952392596636473,defined
calm,redundant,stable,128,0.671875,defined,0.31291922934291716,defined
calm,redundant,stacking,128,0.7890625,defined,0.6573192767368424,defined
calm,redundant,static,128,0.859375,defined,0.9415006568330072,defined
calm,redundant,trend,128,0.625,defined,0.3596864403920759,defined
calm,regime_gate,regime_gate,128,1.0,defined,1.0,defined
calm,regime_gate,stable,128,0.78125,defined,0.7309342141581626,defined
calm,regime_gate,stacking,128,0.9609375,defined,0.9469412681712445,defined
calm,regime_gate,static,128,0.9375,defined,0.9517429972909561,defined
calm,regime_gate,trend,128,0.828125,defined,0.7411451087743431,defined
calm,stable,stable,128,1.0,defined,1.0,defined
calm,stable,stacking,128,0.7890625,defined,0.7740470469802961,defined
calm,stable,static,128,0.765625,defined,0.5802304293655601,defined
calm,stable,trend,128,0.734375,defined,0.4216419504509019,defined
calm,stacking,stacking,128,1.0,defined,1.0,defined
calm,stacking,static,128,0.9296875,defined,0.8529789718587388,defined
calm,stacking,trend,128,0.8359375,defined,0.751128810845825,defined
calm,static,static,128,1.0,defined,0.9999999999999999,defined
calm,static,trend,128,0.765625,defined,0.5692375785287952,defined
calm,trend,trend,128,1.0,defined,1.0,defined
stress,bayesian,bayesian,120,1.0,defined,1.0,defined
stress,bayesian,defensive,120,0.7,defined,0.41957238316996576,defined
stress,bayesian,dynamic,120,0.7416666666666667,defined,0.6829047653986042,defined
stress,bayesian,rank_vote,120,0.5916666666666667,defined,0.5084911055120096,defined
stress,bayesian,redundant,120,0.7,defined,0.4180936762190172,defined
stress,bayesian,regime_gate,120,0.7666666666666667,defined,0.6839542590349722,defined
stress,bayesian,stable,120,1.0,defined,0.9999999999978229,defined
stress,bayesian,stacking,120,0.775,defined,0.7276537083523817,defined
stress,bayesian,static,120,0.7333333333333333,defined,0.6412315466321168,defined
stress,bayesian,trend,120,0.525,defined,0.16655696428070585,defined
stress,defensive,defensive,120,1.0,defined,0.9999999999999998,defined
stress,defensive,dynamic,120,0.8083333333333333,defined,0.706722839619159,defined
stress,defensive,rank_vote,120,0.525,defined,0.672750673213797,defined
stress,defensive,redundant,120,0.9833333333333333,defined,0.9871612505108212,defined
stress,defensive,regime_gate,120,0.9333333333333333,defined,0.9457052701908538,defined
stress,defensive,stable,120,0.7,defined,0.41957093774390986,defined
stress,defensive,stacking,120,0.8416666666666667,defined,0.7132853905929069,defined
stress,defensive,static,120,0.8333333333333334,defined,0.8005889205787333,defined
stress,defensive,trend,120,0.5916666666666667,defined,0.3904954880146695,defined
stress,dynamic,dynamic,120,1.0,defined,0.9999999999999998,defined
stress,dynamic,rank_vote,120,0.6,defined,0.6524472439471694,defined
stress,dynamic,redundant,120,0.8083333333333333,defined,0.7009849284310756,defined
stress,dynamic,regime_gate,120,0.8416666666666667,defined,0.8270989638611492,defined
stress,dynamic,stable,120,0.7416666666666667,defined,0.6829032665433062,defined
stress,dynamic,stacking,120,0.9166666666666666,defined,0.9075893207467219,defined
stress,dynamic,static,120,0.975,defined,0.9890940033621376,defined
stress,dynamic,trend,120,0.7666666666666667,defined,0.7970386994083485,defined
stress,rank_vote,rank_vote,120,1.0,defined,1.0,defined
stress,rank_vote,redundant,120,0.525,defined,0.6716246691006715,defined
stress,rank_vote,regime_gate,120,0.5083333333333333,defined,0.7227546979776125,defined
stress,rank_vote,stable,120,0.5916666666666667,defined,0.5084901289631013,defined
stress,rank_vote,stacking,120,0.5666666666666667,defined,0.8712931664525456,defined
stress,rank_vote,static,120,0.575,defined,0.6851797602918981,defined
stress,rank_vote,trend,120,0.65,defined,0.3774099163470174,defined
stress,redundant,redundant,120,1.0,defined,1.0,defined
stress,redundant,regime_gate,120,0.9333333333333333,defined,0.9448078285528603,defined
stress,redundant,stable,120,0.7,defined,0.4180922423900567,defined
stress,redundant,stacking,120,0.8416666666666667,defined,0.7351936295298305,defined
stress,redundant,static,120,0.8333333333333334,defined,0.7953759703659906,defined
stress,redundant,trend,120,0.5916666666666667,defined,0.3818222798574068,defined
stress,regime_gate,regime_gate,120,1.0,defined,0.9999999999999998,defined
stress,regime_gate,stable,120,0.7666666666666667,defined,0.6839530435993236,defined
stress,regime_gate,stacking,120,0.8583333333333333,defined,0.8498991052196273,defined
stress,regime_gate,static,120,0.85,defined,0.88554120341653,defined
stress,regime_gate,trend,120,0.6083333333333333,defined,0.40709963620615147,defined
stress,stable,stable,120,1.0,defined,1.0,defined
stress,stable,stacking,120,0.775,defined,0.7276525024876885,defined
stress,stable,static,120,0.7333333333333333,defined,0.6412299454551361,defined
stress,stable,trend,120,0.525,defined,0.16655516352775815,defined
stress,stacking,stacking,120,1.0,defined,1.0,defined
stress,stacking,static,120,0.9416666666666667,defined,0.9100429762241483,defined
stress,stacking,trend,120,0.7166666666666667,defined,0.6029849545366279,defined
stress,static,static,120,1.0,defined,1.0,defined
stress,static,trend,120,0.7583333333333333,defined,0.7690168517597958,defined
stress,trend,trend,120,1.0,defined,1.0,defined
uncertain,bayesian,bayesian,8,1.0,defined,1.0,defined
uncertain,bayesian,defensive,8,0.5,defined,0.2841794978932443,defined
uncertain,bayesian,dynamic,8,0.625,defined,0.7572135076928602,defined
uncertain,bayesian,rank_vote,8,0.5,defined,0.8514154560934207,defined
uncertain,bayesian,redundant,8,0.5,defined,0.31048442500189316,defined
