model,kind,mean_turnover,mean_cost_drag,gross_directional_return,net_directional_return,net_directional_return_ci_lower,net_directional_return_ci_upper,net_directional_return_standard_error,net_directional_return_variance,bootstrap_resamples,bootstrap_block_dates,bootstrap_confidence_level,bootstrap_seed,bootstrap_circular
bayesian,ensemble,0.5029621316504711,0.0002514810658252356,0.0038704782082950888,0.0036189971424698533,0.002510919437948898,0.0046233332352052054,0.0005463843347485522,2.98535841258618e-07,512,5,0.95,97531,True
dynamic,ensemble,0.4174299795678158,0.0002087149897839079,0.004280123197410792,0.004071408207626884,0.0027567402024999093,0.0051636975600054804,0.0006305005578805447,3.975309534876781e-07,512,5,0.95,97531,True
rank_vote,ensemble,0.47625081829753485,0.0002381254091487674,0.0014862941563618176,0.0012481687472130501,-0.0002358849609430203,0.0026611513900543725,0.000738509221562501,5.453958703328512e-07,512,5,0.95,97531,True
regime_gate,ensemble,0.32381260518928323,0.0001619063025946416,0.004619862257631665,0.004457955955037023,0.002805126546644547,0.005773113564687865,0.0007693224313894065,5.918570034389081e-07,512,5,0.95,97531,True
stacking,ensemble,0.3969090225728864,0.00019845451128644318,0.004445426470306803,0.004246971959020359,0.002982395403831235,0.005301062708655058,0.0006089464040186953,3.708157229673001e-07,512,5,0.95,97531,True
static,ensemble,0.4302838168794306,0.00021514190843971534,0.0042426443192094595,0.004027502410769745,0.0025454930198819488,0.005216018868825327,0.0006958720367653001,4.842378915518871e-07,512,5,0.95,97531,True
defensive,single,0.48186958346696446,0.00024093479173348224,0.003665207640313546,0.0034242728485800638,0.001723773549676389,0.005030070036327899,0.000856568221988788,7.337091189210336e-07,512,5,0.95,97531,True
redundant,single,0.4723073753730017,0.00023615368768650086,0.0037165208616759694,0.003480367173989469,0.0018083228378488916,0.005030139145061941,0.0008388601622196139,7.03686371759117e-07,512,5,0.95,97531,True
stable,single,0.5029624135030738,0.0002514812067515369,0.0038704724083007467,0.00361899120154921,0.0025109148287787765,0.004623327113659863,0.0005463835249853323,2.9853495637539727e-07,512,5,0.95,97531,True
trend,single,0.47807262113292937,0.00023903631056646464,0.0031919430397559525,0.0029529067291894874,0.001675835684001387,0.00441966986852814,0.0007456647561617178,5.560159285817141e-07,512,5,0.95,97531,True
