model,kind,rows,mean_heuristic_dispersion,heuristic_interval_coverage,dispersion_absolute_error_correlation,dispersion_correlation_status,dispersion_rows,fallback_rate
bayesian,ensemble,256,0.007628797186127122,0.76171875,0.23528371011115118,defined,256,0.0
dynamic,ensemble,256,0.006609900872657714,0.796875,0.1566506983319675,defined,256,0.0
rank_vote,ensemble,256,0.008227539345630192,0.8203125,0.06798722630006153,defined,256,0.0
regime_gate,ensemble,256,0.006308483305307617,0.8508064516129032,0.07537050409725093,defined,248,0.03125
stacking,ensemble,256,0.008287435548116524,0.9140625,0.030760335865072392,defined,256,0.0
static,ensemble,256,0.006574404344038808,0.796875,0.2679304299954326,defined,256,0.0
defensive,single,256,0.005859375,0.5859375,0.45225470800286666,defined,256,0.0
redundant,single,256,0.0058,0.57421875,-0.4343583883482731,defined,256,0.0
stable,single,256,0.0048,0.515625,,undefined_constant_or_insufficient_dispersion,256,0.0
trend,single,256,0.005546875,0.48046875,0.46866727124793134,defined,256,0.0
