section,name,metric,value,unit,scope
asset_risk,SYNTH_00,component_variance,7.3538402845988411e-07,squared_simple_return,synthetic_development_only
asset_risk,SYNTH_01,component_variance,5.1951306318736699e-07,squared_simple_return,synthetic_development_only
asset_risk,SYNTH_02,component_variance,4.6690721202128391e-07,squared_simple_return,synthetic_development_only
asset_risk,SYNTH_03,component_variance,1.1206516227080839e-06,squared_simple_return,synthetic_development_only
asset_risk,SYNTH_04,component_variance,5.4265716448203517e-07,squared_simple_return,synthetic_development_only
asset_risk,SYNTH_05,component_variance,5.388065516547017e-07,squared_simple_return,synthetic_development_only
asset_risk,SYNTH_06,component_variance,7.521335905597838e-07,squared_simple_return,synthetic_development_only
asset_risk,SYNTH_07,component_variance,8.1562565145569553e-07,squared_simple_return,synthetic_development_only
drift,portfolio,gross_exposure_change,4.4408920985006262e-16,weight,synthetic_development_only
drift,portfolio,net_exposure_change,4.4408920985006262e-16,weight,synthetic_development_only
ex_ante,portfolio,annualized_volatility,0.037200847825033051,annualized_decimal,synthetic_development_only
ex_ante,portfolio,periodic_variance,5.4916788845288352e-06,squared_simple_return,synthetic_development_only
factor_drift,factor_00,exposure_change,-0.0032370873439246661,factor_exposure,synthetic_development_only
factor_drift,factor_01,exposure_change,-0.015975747509785532,factor_exposure,synthetic_development_only
factor_drift,factor_02,exposure_change,0.004129964038015882,factor_exposure,synthetic_development_only
factor_risk,factor_00,component_variance,1.2537800473695989e-07,squared_simple_return,synthetic_development_only
factor_risk,factor_01,component_variance,-2.0923117099249346e-10,squared_simple_return,synthetic_development_only
factor_risk,factor_02,component_variance,-4.8316461127580323e-10,squared_simple_return,synthetic_development_only
realized,cash,return_contribution,-0,simple_return,synthetic_development_only
realized,cost,return_contribution,-0.001,simple_return,synthetic_development_only
realized,portfolio,gross_return,-0.0049940255215699305,simple_return,synthetic_development_only
realized,portfolio,net_pnl,-59940.255215698853,currency_units,synthetic_development_only
realized,portfolio,net_return,-0.0059940255215698854,simple_return,synthetic_development_only
realized,portfolio,observed_ending_equity,9940059.7447843011,currency_units,synthetic_development_only
reconciliation,asset_risk,variance_error,0,squared_simple_return,synthetic_development_only
reconciliation,broad_drawdown,scenario_ending_value_error,0,currency_units,synthetic_development_only
reconciliation,broad_drawdown,scenario_return_error,0,simple_return,synthetic_development_only
reconciliation,broad_rally,scenario_ending_value_error,0,currency_units,synthetic_development_only
reconciliation,broad_rally,scenario_return_error,0,simple_return,synthetic_development_only
reconciliation,drift,accounting_error,0,weight,synthetic_development_only
reconciliation,factor_rotation,scenario_ending_value_error,0,currency_units,synthetic_development_only
reconciliation,factor_rotation,scenario_return_error,0,simple_return,synthetic_development_only
reconciliation,realized,ending_equity_error,0,currency_units,synthetic_development_only
reconciliation,realized,return_error,-4.5102810375396984e-17,simple_return,synthetic_development_only
scenario,broad_drawdown,modeled_ending_equity,9189999.9999999329,currency_units,synthetic_development_only
scenario,broad_drawdown,modeled_portfolio_return,-0.081000000000006747,simple_return,synthetic_development_only
scenario,broad_drawdown,modeled_scenario_pnl,-810000.00000006752,currency_units,synthetic_development_only
scenario,broad_rally,modeled_ending_equity,10390000.000000034,currency_units,synthetic_development_only
scenario,broad_rally,modeled_portfolio_return,0.039000000000003372,simple_return,synthetic_development_only
scenario,broad_rally,modeled_scenario_pnl,390000.00000003376,currency_units,synthetic_development_only
scenario,factor_rotation,modeled_ending_equity,9792176.8408482261,currency_units,synthetic_development_only
scenario,factor_rotation,modeled_portfolio_return,-0.020782315915177343,simple_return,synthetic_development_only
scenario,factor_rotation,modeled_scenario_pnl,-207823.15915177343,currency_units,synthetic_development_only
scenario_cash,broad_drawdown,return_contribution,-0,simple_return,synthetic_development_only
scenario_cash,broad_rally,return_contribution,-0,simple_return,synthetic_development_only
scenario_cash,factor_rotation,return_contribution,-0,simple_return,synthetic_development_only
scenario_cost,broad_drawdown,return_contribution,-0.001,simple_return,synthetic_development_only
scenario_cost,broad_rally,return_contribution,-0.001,simple_return,synthetic_development_only
scenario_cost,factor_rotation,return_contribution,-0.001,simple_return,synthetic_development_only
