arm,capital,turnover_budget,fold,regime,n_dates,n_feasible,n_failures,feasible_fraction,coverage_fraction,performance_evidence_available,net_return,net_return_ci95_low,net_return_ci95_high,uncertainty_method,hac_lag,net_sharpe,realized_volatility,gross_return,cost_drag,max_drawdown,var_95_loss,cvar_95_loss,worst_bar_return,mean_turnover,max_turnover,mean_gross_exposure,max_gross_exposure,mean_net_exposure,mean_absolute_net_exposure,mean_concentration,max_concentration,mean_effective_n,mean_n_positions,mean_ex_ante_volatility,mean_condition_number,max_condition_number,mean_ridge_applied,max_ridge_applied,ridge_applied_fraction,mean_n_observations,min_n_observations,mean_observations_considered,mean_complete_observation_fraction,min_complete_observation_fraction,mean_primal_residual,max_primal_residual,mean_dual_residual,max_dual_residual,mean_complementarity_residual,max_complementarity_residual,mean_objective_residual,max_objective_residual,median_max_certificate_residual,p95_max_certificate_residual,max_certificate_residual,median_duality_gap,p95_duality_gap,max_duality_gap,solver_failures,failure_reasons
alpha_risk_cost,10000000,0.25,fold_1,all,12,9,3,0.75,0.75,True,0.28781678146091089,-0.39200230808223685,0.96763587100405868,newey_west_hac_bartlett,2,3.4685103461383844,0.082979940302426239,0.33533061151067711,0.047513830049766212,-0.013609523636019971,0.0063096287825576934,0.0097370350310427012,-0.0097370350310427012,0.18854694464192936,0.9999999999995296,1.0000625623727548,1.0002508795085339,1.0000625621858574,1.0000625621858574,0.25014961084945159,0.28000000066280972,4.0228249799049687,8,0.073966450423949268,5.727253203136943,5.895726188741623,0,0,0,252,252,252,1,1,5.8158085299279491e-10,9.7940339172097879e-10,1.3156460704590002e-09,1.9808302775814468e-09,4.0152005253621261e-09,1.8063467663688279e-08,2.8785071631883606e-09,5.7948874786562335e-09,4.3349261107043417e-09,1.8553344851151239e-08,2.4519301407070306e-08,3.4454034980828439e-09,1.7626671224931337e-08,2.4519301407070306e-08,3,solver status 'failed' is not eligible for evidence consumption (3)
alpha_risk_cost,10000000,0.25,fold_1,calm,12,9,3,0.75,0.75,True,0.28781678146091089,-0.39200230808223685,0.96763587100405868,newey_west_hac_bartlett,2,3.4685103461383844,0.082979940302426239,0.33533061151067711,0.047513830049766212,-0.013609523636019971,0.0063096287825576934,0.0097370350310427012,-0.0097370350310427012,0.18854694464192936,0.9999999999995296,1.0000625623727548,1.0002508795085339,1.0000625621858574,1.0000625621858574,0.25014961084945159,0.28000000066280972,4.0228249799049687,8,0.073966450423949268,5.727253203136943,5.895726188741623,0,0,0,252,252,252,1,1,5.8158085299279491e-10,9.7940339172097879e-10,1.3156460704590002e-09,1.9808302775814468e-09,4.0152005253621261e-09,1.8063467663688279e-08,2.8785071631883606e-09,5.7948874786562335e-09,4.3349261107043417e-09,1.8553344851151239e-08,2.4519301407070306e-08,3.4454034980828439e-09,1.7626671224931337e-08,2.4519301407070306e-08,3,solver status 'failed' is not eligible for evidence consumption (3)
alpha_risk_cost,10000000,0.25,fold_2,all,11,5,6,0.45454545454545453,0.45454545454545453,True,-0.70071824774281277,-1.2365345078186147,-0.16490198766701081,newey_west_hac_bartlett,2,-8.9204203116088472,0.078552155982035146,-0.67780340507024861,0.022914842672564141,-0.0349448220467099,0.0095271412697185073,0.012885429444018914,-0.012885429444018914,0.090931915367318053,0.24999999976561374,1.0001145644709422,1.0002533286408943,1.0001145639205582,1.0001145639205582,0.19961496540454721,0.23323089930649599,5.0824880325897279,8,0.062243092662851038,5.7608171646903816,5.874503310850792,0,0,0,252,252,252,1,1,5.0791634994955316e-10,1.0711116438244517e-09,1.66439746289458e-09,1.8647138139149533e-09,1.1950378336163262e-09,2.5123783775309368e-09,2.0828473703185301e-09,6.1791687554359558e-09,2.9753049683994492e-09,6.0110406699562904e-09,6.1791687554359558e-09,2.9753049683994492e-09,4.9286318741472954e-09,5.3385283280376294e-09,4,solver status 'failed' is not eligible for evidence consumption (4) | target breaches max_turnover after exited-name liquidation accounting (0.250000 > 0.250000) (2)
alpha_risk_cost,10000000,0.25,fold_2,calm,6,3,3,0.5,0.5,True,-0.28869777875076091,-0.75221304423905122,0.17481748673752939,newey_west_hac_bartlett,2,-4.224081098106506,0.068345699821003233,-0.26768723372556402,0.021010545025196968,-0.011672710541809295,0.0061235087030854351,0.0061688530954181016,-0.0061688530954181016,0.083375178671416528,0.24999999976561374,1.000083932543171,1.0002498935217061,1.0000839317787136,1.0000839317787136,0.20327557717339043,0.23182412201285002,4.9952958105883738,8,0.061611691402689066,5.7487722518186386,5.8034624111465689,0,0,0,252,252,252,1,1,4.6208794545132474e-10,1.0426411123365398e-09,1.7893015564349857e-09,1.8647138139149533e-09,1.4696366237487854e-09,2.5123783775309368e-09,2.4441953275044883e-09,6.1791687554359558e-09,5.3385283280376294e-09,6.0951047126961235e-09,6.1791687554359558e-09,3.2890460585859634e-09,5.1335801010924624e-09,5.3385283280376294e-09,2,solver status 'failed' is not eligible for evidence consumption (2) | target breaches max_turnover after exited-name liquidation accounting (0.250000 > 0.250000) (1)
alpha_risk_cost,10000000,0.25,fold_2,stress,5,2,3,0.40000000000000002,0.40000000000000002,True,-1.1951428105332749,-1.8424232050441463,-0.54786241602240349,newey_west_hac_bartlett,2,-13.927052312271535,0.085814484194921825,-1.1699428106838701,0.025199999849404766,-0.019354517481883327,0.011199964576498952,0.012885429444018914,-0.012885429444018914,0.099999999402399856,0.24999999913692672,1.0001513227842675,1.0002533286408943,1.0001513224907712,1.0001513224907712,0.19522223128193533,0.23323089930649599,5.1871186989913527,8,0.063190194553093992,5.778884533997994,5.874503310850792,0,0,0,252,252,252,1,1,5.7665895669689604e-10,1.0711116438244517e-09,1.4770413225839718e-09,1.5981741485759926e-09,7.8313964841763703e-10,1.1295880855105157e-09,1.5408254345395929e-09,1.5840242151592291e-09,1.9427218991326212e-09,2.2528148746335864e-09,2.2872696496892493e-09,1.8917707039572823e-09,2.2477197551160526e-09,2.2872696496892493e-09,2,solver status 'failed' is not eligible for evidence consumption (2) | target breaches max_turnover after exited-name liquidation accounting (0.250000 > 0.250000) (1)
alpha_risk_cost,10000000,None,fold_1,all,12,10,2,0.83333333333333337,0.83333333333333337,True,0.291205503187416,-0.36566246946329928,0.94807347583813129,newey_west_hac_bartlett,2,3.254402914077426,0.089480470266223425,0.38563766676373668,0.094432163576320644,-0.011968630459925245,0.0074043978080712385,0.007624638684416229,-0.007624638684416229,0.3747308078425422,0.9999999999995296,1.0000892512402326,1.0005981609901249,1.0000892509120034,1.0000892509120034,0.25731512867245832,0.2800000009819405,3.9152921343282863,8,0.075025817086043792,5.7144410950994482,5.895726188741623,0,0,0,252,252,252,1,1,1.0736813796981964e-09,1.8808709589812622e-09,1.2286116692849017e-09,1.9035342948548494e-09,4.9458549891751805e-09,1.8063467663688279e-08,4.3987187593207091e-09,7.8191082821973297e-09,5.7554142801795289e-09,1.8433331311728261e-08,2.4519301407070306e-08,3.7982505141814788e-09,1.7204229197751114e-08,2.4519301407070306e-08,2,solver status 'failed' is not eligible for evidence consumption (2)
alpha_risk_cost,10000000,None,fold_1,calm,12,10,2,0.83333333333333337,0.83333333333333337,True,0.291205503187416,-0.36566246946329928,0.94807347583813129,newey_west_hac_bartlett,2,3.254402914077426,0.089480470266223425,0.38563766676373668,0.094432163576320644,-0.011968630459925245,0.0074043978080712385,0.007624638684416229,-0.007624638684416229,0.3747308078425422,0.9999999999995296,1.0000892512402326,1.0005981609901249,1.0000892509120034,1.0000892509120034,0.25731512867245832,0.2800000009819405,3.9152921343282863,8,0.075025817086043792,5.7144410950994482,5.895726188741623,0,0,0,252,252,252,1,1,1.0736813796981964e-09,1.8808709589812622e-09,1.2286116692849017e-09,1.9035342948548494e-09,4.9458549891751805e-09,1.8063467663688279e-08,4.3987187593207091e-09,7.8191082821973297e-09,5.7554142801795289e-09,1.8433331311728261e-08,2.4519301407070306e-08,3.7982505141814788e-09,1.7204229197751114e-08,2.4519301407070306e-08,2,solver status 'failed' is not eligible for evidence consumption (2)
alpha_risk_cost,10000000,None,fold_2,all,11,9,2,0.81818181818181823,0.81818181818181823,True,-0.37387752972020233,-0.92513971915530524,0.17738465971490053,newey_west_hac_bartlett,2,-4.2293319943720853,0.088401083248540457,-0.26885512193635253,0.10502240778384984,-0.018977744977704436,0.0089603288635590073,0.01228713916741442,-0.01228713916741442,0.41675558644384869,1.2596301649837445,1.0000727309615109,1.0006084344539108,1.0000727302959218,1.0000727302959218,0.25630894653647124,0.28000000088917815,3.9315848328147429,8,0.071695999647165054,5.7769930713469364,5.874503310850792,0,0,0,252,252,252,1,1,1.4443081893867103e-09,1.9936536669920682e-09,1.0179066965571866e-09,1.60077723299068e-09,3.8400234035355114e-09,1.3183154716448918e-08,2.6822442056343219e-09,5.3651053622611428e-09,4.2170695900974177e-09,1.0055934974773805e-08,1.3183154716448918e-08,1.5409094768922985e-09,3.8578142828931093e-09,4.0576977272076647e-09,2,solver status 'failed' is not eligible for evidence consumption (2)
alpha_risk_cost,10000000,None,fold_2,calm,6,5,1,0.83333333333333337,0.83333333333333337,True,-0.38862900824882529,-0.67799688775625655,-0.099261128741394089,newey_west_hac_bartlett,2,-8.136194443830421,0.047765452378478741,-0.32004288130649577,0.068586126942329573,-0.011884270903977701,0.0050910060010734785,0.0056335185597035939,-0.0056335185597035939,0.27216717040606969,1.0095733517712921,1.0000319339567809,1.0001916006523923,1.0000319331337948,1.0000319331337948,0.24540529799388908,0.25763762364479126,4.1014073728082341,8,0.069067347563710565,5.7842711000777749,5.8439014685010084,0,0,0,252,252,252,1,1,1.3669908832346112e-09,1.9936536669920682e-09,1.1408248084086051e-09,1.60077723299068e-09,4.3832658684691446e-09,1.3183154716448918e-08,4.2568592246487823e-09,5.3651053622611428e-09,5.2393924102557045e-09,1.1619544845611361e-08,1.3183154716448918e-08,1.3515502153329298e-09,3.554340077144591e-09,4.0576977272076647e-09,1,solver status 'failed' is not eligible for evidence consumption (1)
alpha_risk_cost,10000000,None,fold_2,stress,5,4,1,0.80000000000000004,0.80000000000000004,True,-0.35617575548585473,-1.3880770683115393,0.67572555733982997,newey_west_hac_bartlett,2,-2.7576485347780819,0.12915922786894143,-0.2074298106921805,0.1487459447936742,-0.012287139167414418,0.010729526613326896,0.01228713916741442,-0.01228713916741442,0.59026168568918336,1.2596301649837445,1.0001216873671868,1.0006084344539108,1.0001216868904739,1.0001216868904739,0.26939332478756983,0.28000000088917815,3.7277977848225539,8,0.07498181475148312,5.7678955354333885,5.874503310850792,0,0,0,252,252,252,1,1,1.5409548220768343e-09,1.8895967568433036e-09,8.6425905674291339e-10,1.1848630965261009e-09,3.1609703223684703e-09,4.4516642341440962e-09,7.1397543186624608e-10,1.349217990158855e-09,3.3414539894354212e-09,4.3176129664856733e-09,4.4516642341440962e-09,2.7966454581567574e-09,3.4498870616503847e-09,3.5579891164212774e-09,1,solver status 'failed' is not eligible for evidence consumption (1)
